id,name,website,address,municipality,county,lat,long,phone_number,rating,place_id
motrasav0982,"Mørk Trafikkskole AS avd. Moss",mt.no/,"Kong Haakons Plass 2, 1532 Moss",Moss,Viken,59.4343799,10.6653758,"953 04 375",3.8,ChIJqR5EAZ5SQUYRR56ZUa7OUJI
motrasav2893,"Mørk Trafikkskole AS avd. Fredrikstad",mt.no/hjem-fredrikstad/,"Fremskridt 10, 1605 Fredrikstad",Fredrikstad,Viken,59.21886699999999,10.944823,"468 43 892",5,ChIJ4UaeKSADREYRwiofAez88GY
motrasav3028,"Mørk Trafikkskole AS avd. Sarpsborg",mt.no/hjem-sarpsborg/,"St. Marie gate 131, 1725 Sarpsborg",Sarpsborg,Viken,59.284041,11.1073423,"957 99 740",5,ChIJc89SxIUGREYRaw3ckxnJKPE
mrtratra7389,"Mr. Traffiq Trafikkskole",mr-traffiq.no/,"Eikveien 26, 1718 Greåker",Sarpsborg,Viken,59.26886210000001,11.0311017,"69 14 40 00",4.2,ChIJrYK6AfcDREYR8fUlIshsKVE
nbtraasa3922,"NB Trafikkskole AS Årnes",nbtrafikkskole.no/,"Jernbanegata 7A, 2150 Årnes",Nes,Viken,60.1232903,11.4658985,"909 16 302",,ChIJ59yg1_IsQkYRfR80P2Z6zgI
nbtrafau2672,"NB Trafikkskole",nbtrafikkskole.no/,"Serviceveien 8, 1940 Bjørkelangen",Aurskog-Høland,Viken,59.890527,11.5599912,"481 99 648",4.9,ChIJUQ6YOorFQ0YRsgcRDF_cFt4
nesotraf9457,"Nesodden Trafikkskole",nesoddentrafikkskole.no/,"Vestveien 51, 1450 Nesoddtangen",Nesodden,Viken,59.855893,10.660916,"66 91 22 60",,ChIJ0xUAs-xrQUYRrhgCTF-i_kA
nexttraf8945,"Next Trafikkopplæring",nexttrafikk.no/,"Sentrumsvegen 101, 3550 Gol",Gol,Viken,60.70224239999999,8.939406,"924 37 433",5,ChIJtxd9XYf0P0YRjEw-749p_Pw
nootrada2226,"Noor trafikkskole DA",noortrafikkskole.no/,"Hauketoveien 3, 1266 Oslo","Oslo kommune",Oslo,59.8459877,10.8044475,"998 82 323",4.4,ChIJT7O4vMdoQUYRvgxgBF8bp0k
nortraas9952,"Nordstrand Trafikkskole AS",nordstrandtrafikkskole.no/,"Ekebergveien 228C, 1162 Oslo","Oslo kommune",Oslo,59.8613533,10.800952,"900 54 946",2,ChIJvSCHLTNvQUYREuIa__3z2QY
nortrase2492,"Norges Trafikkskole senter",nts-trafikkskole.no/,"Griniveien 10, 0756 Oslo","Oslo kommune",Oslo,59.94770499999999,10.642111,"484 88 401",4.8,ChIJxbkRmm1tQUYRaGnjgFS10tk
nybtrano7841,"Nybo Trafikkskole",trafikkskolene.no/nyboe-trafikkskole/,"Sanderveien 2, 1400 Ski","Nordre Follo",Viken,59.7175633,10.8394665,"64 86 95 37",,ChIJBYgjk8xcQUYRlmajhfrc9Gk
nydtraos5025,"Nydalen trafikkskole",nydalenkjoereskole.no/,"Maridalsveien 264, 0872 Oslo","Oslo kommune",Oslo,59.9473308,10.7597549,"417 65 205",4.6,ChIJqRaHWWtuQUYRrG4OWUj2_HQ
nyegrotr9825,"Nye Grønland Trafikkskole",dennyetrafikkskole.no/,"Olafiagangen 5, 0188 Oslo","Oslo kommune",Oslo,59.9129136,10.7592748,"994 91 096",,ChIJcU8wbGBuQUYRzVBdk96ER8w
oddjentr0093,"Odd Jensen Trafikkskole AS",oddjensen.no/,"Konnerudgata 10, 3045 Drammen",Drammen,Viken,59.73917669999999,10.197369,"32 83 00 10",5,ChIJhVQIlkwjQUYR_ggAcrjZLUY
oedrscas3119,"Økern Driving schools AS",okerntrafikkskoler.no/,"Østre Aker vei 19, 0581 Oslo","Oslo kommune",Oslo,59.9278771,10.8064766,"995 99 899",3.8,ChIJ__gqO7VvQUYRMao9slV2Y7E
oesttraf8543,"Østfold Trafikkskole",ostfoldtrafikkskole.no/,"Storgata 2, 1890 Rakkestad",Rakkestad,Viken,59.4276631,11.3400918,"69 22 22 53",4,ChIJN-xzjtn2Q0YRw8XhEinz4Tg
oetrasav9608,"Østfold Trafikkskole As avd Halden",facebook.com/OstfoldTrafikkskole/,"Torgny Segerstedts Gate 18, 1772 Halden",Halden,Viken,59.1241073,11.3929801,"917 72 010",4.5,ChIJRRchbNsSREYRDa0dkv8C88k
oevekomp3056,"Øvergård's Kompetanse",trafikkompetanse.no/index.html,"Bjørnstadgrenda 60, 1712 Sarpsborg",Sarpsborg,Viken,59.3039742,11.0497516,,5,ChIJ7ccHZjUBREYRuWKgy1ztNNk
oevromtr7143,"Øvre Romerike Trafikkskole AS",ovre-romerike-trafikkskole.no/,"Kongsvingervegen 6, 2040 Kløfta",Ullensaker,Viken,60.07658300000001,11.14258,"930 47 308",5,ChIJj0wJthl_QUYRoGHiQHzJ9tQ
omatraos4317,"OMA TRAFIKKSKOLE",omatrafikk.no/,"Tøyengata 45, 0578 Oslo","Oslo kommune",Oslo,59.91556519999999,10.771057,"405 38 644",5,ChIJkxDjrF5uQUYR540GDd5A3so
onstraas5008,"Onsoy trafikkskole AS",onsoytrafikkskole.no/,"St. Hans gate 2, 1607 Fredrikstad",Fredrikstad,Viken,59.2141365,10.9339705,"929 89 998",4.9,ChIJTz6bzrgCREYRkPINWHHFBE4
opptrano8906,"Oppegård Trafikkskole",oppegaardtrafikk.no/,"Flåtestadveien 3, 1415 Oppegård","Nordre Follo",Viken,59.7739883,10.8032287,"412 09 969",5,ChIJZzheHQRoQUYRVZegGlTqrCo
oslbaetu8831,"Oslo Bærum Tungbilskole As",tungbilskole.no/,"Industriveien 33, 1337 Sandvika",Bærum,Viken,59.8917975,10.5101401,"907 47 800",5,ChIJVVUVlGQTQUYROf8RoLhpnTM
oslsydtr0730,"Oslo Syd Trafikkskole",oslosyd.no/,"Hauketoveien 8, 1266 Oslo","Oslo kommune",Oslo,59.8472343,10.8046408,"22 61 50 70",5,ChIJ8zmHUupoQUYR9jPD_6IFa0U
ostetras9972,"Oslo Team Trafikkskole AS",osloteamtrafikkskole.no/,"Odins gate 11, 0266 Oslo","Oslo kommune",Oslo,59.9193694,10.7068706,"22 44 54 10",4.6,ChIJB5vLic1tQUYRQohwgpk79Ts
